id	successful	dissovet	speciality	title	author	supervisor	uploaded	defended	interval
128962	True	02.18.00	05.13.17	Система автоматического выбора и оценки алгоритмов кластеризации и их параметров	Муравьёв Сергей Борисович	Фильченков Андрей Александрович	25.11.2019	25.12.2019	30
361613	True	05.19.00	01.04.05	Конфигурирование индикатрисы рассеяния наноструктур, поддерживающих возбуждение мультипольных моментов высоких порядков	Аль-Наима Хади Карим Шамхи	Шалин Александр Сергеевич	28.05.2021	30.06.2021	33
741805	True	05.22.00	1.3.6	Влияние внешнего окружения на оптические свойства квантовых точек трехкомпонентных полупроводниковых соединений i-iii-vi	Миропольцев Максим Андреевич	Баранов Александр Васильевич	09.11.2022	09.12.2022	30
475717	True	02.18.00	05.13.17	Автоматическое распознавание эмоциональных состояний дикторов по голосовым характеристикам и тональности текста высказывания	Верхоляк Оксана Владимировна	Карпов Алексей Анатольевич	17.11.2021	17.12.2021	30
596524	True	07.19.00	1.3.8	Создание и исследование сверхкомпактных источников оптического излучения на основе туннельного контакта с локализованной оптической наноантенной	Школдин Виталий Алексеевич	Мухин Иван Сергеевич	27.05.2022	29.06.2022	33
224328	True	06.19.00	05.11.07	Исследование способов совершенствования точностных характеристик волоконно-оптической гидроакустической буксируемой косы для морских геофизических исследований	Власов Александр Андреевич	Алейник Артем Сергеевич	30.10.2020	01.12.2020	32
470701	True	01.18.00	05.13.15	Архитектура и организация граничных вычислений для виртуального кластера на основе компьютеров с ограниченными вычислительными ресурсами	Шматков Владислав Николаевич	Муромцев Дмитрий Ильич	19.11.2021	20.12.2021	31
240099	True	01.18.00	05.13.15	Архитектура и методы вычислений для распределенной сверточной нейронной сети на кластере компьютеров с ограниченными вычислительными ресурсами	Хайдарова Резеда Раитовна	Муромцев Дмитрий Ильич	18.11.2020	18.12.2020	30
1017561	True	05.22.00	1.3.4	Распространяющиеся и локализованные состояния электромагнитных волн в средах из проводов	Корешин Евгений Алексеевич	Белов Павел Александрович	15.11.2023	15.12.2023	30
246067	True	04.19.00	05.13.10	Интеллектуальные методы анализа и синтеза организационных структур для цифровой трансформации процессов разведки и разработки нефтегазовых месторождений	Буханов Никита Владимирович	Бухановский Александр Валерьевич	23.11.2020	23.12.2020	30
1036899	True	06.22.00	2.2.6	Метод лазерно-индуцированной микроплазмы при создании волоконного интерферометра маха-цендера для сенсорных применений	Цай Шухао	Петров Андрей Анатольевич	22.11.2023	25.12.2023	33
125582	True	05.19.00	01.04.05	Резонансное взаимодействие квазилинейных волн с солитонами в нелинейных световодах	Юлин Алексей Викторович	Розанов Николай Николаевич	15.01.2020	16.03.2020	61
707610	True	08.22.00	2.4.8	Анализ работы энергетической системы на базе абсорбционной бромистолитиевой холодильной машины и парогазовой установки	Байрамов Джамиль Загидович	Галимова Лариса Васильевна	27.09.2022	10.11.2022	44
